"AppName","AppId","Permission","CredType","CredCount","ExpiredCount","RiskLevel"
"Redstor Cloud To Cloud (za)","bdbd380c-246e-452d-9f67-874e7e7808e5","Directory.ReadWrite.All","None","0","0","ⓘ  INFO (no credentials)"
"ENow App Governance Accelerator Data Collector - Enterprise","5afad62f-fd88-4548-9109-893a3d37cc1e","Application.ReadWrite.All","None","0","0","ⓘ  INFO (no credentials)"
"Synology Active Backup for Office 365","af08ce07-1df9-4a39-b6e6-092ac934eb21","Directory.ReadWrite.All","None","0","0","ⓘ  INFO (no credentials)"
"Microsoft 365 Backup","3ceb89a9-8fca-40e0-a51b-a2b6270a4e14","Directory.ReadWrite.All","Certificate","1","0","✓  MODERATE (cert is better, but permission is dangerous)"
"ENow App Governance Accelerator Data Collector - Enterprise (QA)","c9cb3ddd-cd25-4d50-8eaf-d87da7863838","Application.ReadWrite.All","None","0","0","ⓘ  INFO (no credentials)"
"Synology Active Backup for M365","720c6edb-0a89-491f-9f7b-cc87abde9092","Directory.ReadWrite.All","Certificate","1","0","✓  MODERATE (cert is better, but permission is dangerous)"
"Apps4.Pro Tasks","85df5350-ef65-44a3-b950-132bb730bda5","Directory.AccessAsUser.All","None","0","0","ⓘ  INFO (no credentials)"
"SharePoint Online Client Extensibility Web Application Principal Helper","e5877e8c-df1e-46f2-8571-ccb9d7dac5a0","Directory.AccessAsUser.All","None","0","0","ⓘ  INFO (no credentials)"
"LiveCloud-Token-UMP","0db4ca36-1f77-46fc-8b8f-1f8caad5ce36","Directory.AccessAsUser.All","None","0","0","ⓘ  INFO (no credentials)"
"Synology Active Backup for M365","b4f234da-3a1a-4f4d-a058-23ed08928904","Directory.AccessAsUser.All","None","0","0","ⓘ  INFO (no credentials)"
